2019-04-24 10:30:29.764293,14608,9688,4920
2019-04-24 10:31:39.405282,14608,9688,4920
2019-04-24 10:32:47.910278,14024,9827,4197
2019-04-24 10:33:58.325631,14020,9799,4221
2019-04-24 10:34:08.431429,13932,9603,4329
2019-04-24 10:35:22.771799,13106,8943,4163
2019-04-24 10:36:39.382153,13062,8754,4308
2019-04-24 10:37:53.508792,12615,8136,4479
2019-04-24 10:39:03.583002,12615,8136,4479
2019-04-24 10:41:13.257769,12073,7543,4530
2019-04-24 10:42:20.711378,11647,7625,4022
2019-04-24 10:43:30.152159,11622,7677,3945
2019-04-24 10:44:17.439465,11268,7508,3760
2019-04-25 00:39:21.808543,18136,9950,4186
2019-04-25 00:38:47.534034,18136,9950,4186
2019-04-25 00:39:21.696375,18149,9971,4178
2019-04-25 00:41:08.098416,18149,9971,4178
2019-04-25 00:41:08.707841,18149,9971,4178
2019-04-25 00:41:09.369176,18149,9971,4178
2019-04-25 01:58:38.370623,17258,9991,3267
2019-04-25 01:01:36.619795,17219,9992,3227
2019-04-25 01:11:44.365645,18065,8829,4236
2019-04-25 01:15:29.152064,18155,8827,4328
2019-04-25 01:20:31.638546,18057,8761,4296
2019-04-25 01:29:26.882769,18059,7068,3991
